notation;title;description
1;Bildungswissenschaften;
2;Empirische Bildungsforschung;
3;Erziehungswissenschaften;
4;Politikwissenschaften;
5;Psychologie;
6;Sozialwissenschaften;
7;Soziologie;
8;Wirtschaftswissenschaften;
