notation;title;description
1;Klasse 3;
2;Klasse 4;
3;Klasse 8 HSA;
4;Klasse 8 MSA;
5;Klasse 8 Gymnasium;
6;Klasse 9 HSA;
7;Klasse 9 MSA;
8;Klasse 9 Gymnasium;
