notation;title;description
1;offen;
2;angefragt;
3;in Verhandlung;
4;öffentliches Gut beschränkt;
5;öffentliches Gut unbeschränkt;
6;Quelle ungeklärt;
7;Recht beschränkt erteilt;
8;Recht liegt am IQB;
9;Recht nicht erteilt;
10;Recht unbeschränkt erteilt;
11;Rechteinhaber ungeklärt;
12;zurückgezogen;
