notation;title;description
1;eigen-/fremdkulturelle Aspekte;
2;Eigenschaften von Personen/Objekten;
3;Emotionen/Stimmungen;
4;Handlungsverlauf;
5;Handlungsziele;
6;Hauptaussagen;
7;Meinungen/Haltungen;
8;Nebenaussagen;
9;spezifische Information;
10;stilistische Variationen/Textstrukturmerkmale;
11;Textintentionen;
12;Thema/Kernaussage;
13;Ursachen/Folgen;
