notation;title;description
1;apparier des informations;
2;comprendre des indications de direction/consigne;
3;comprendre les messages principeaux;
4;comprendre l'idée generale;
5;déduire le sens d'un mot ou d'un group lexical;
6;faire des inférences simples;
7;identifier une information spécifique;
