notation;title;description
1;bekannte Wortfelder;
2;wenig bekannte Wortfelder;
3;unbekannte Wortfelder;
4;durchgängig anspruchsvoll;
5;teilweise anspruchsvoll;
6;durchgängig einfach;
7;teilweise einfach;
8;idiomatische Wendungen;
