notation;title;description
1;gap-filling;
2;multiple choice;
3;multiple matching;
4;note taking;
5;sentence completion;
6;sequencing;
7;short answer;
8;table completion;
9;true-false;
10;true-false-justification;
11;true-false-line;
12;true-false-not given;
