notation;title;description
1;Entwurf;;3c7b50d8-de63-4157-993c-b80c82966c74
2;Präpilotiert;;1a3730a5-c4b8-467e-bed8-76324520a2c0
3;Pilotiert;;97190220-9616-483e-a694-7ea7ebaab361
4;In Test eingesetzt;;761d92be-56a9-4584-89eb-e9797b6480fb
6;Ankeraufgabe;;eca0725a-70fe-4465-9d6a-2e748977fdc1
7;veröffentlicht;;e09e8f97-00ab-4e56-9115-f642b9555a0a
