notation;title;description
1;in Bearbeitung;;a35fb92f-4000-11ee-afb8-484d7ea9e46c
2;fertig für Pilotierung;;a35fb930-4000-11ee-8367-484d7ea9e46c
3;pilotiert/normiert;;a35fb931-4000-11ee-9571-484d7ea9e46c
4;in Test verwendet (öffentlich);;a35fb932-4000-11ee-b5a6-484d7ea9e46c
5;in Test verwendet (nicht öffentlich);;a35fb933-4000-11ee-83b7-484d7ea9e46c
6;Ankeraufgabe;;a35fb934-4000-11ee-9571-484d7ea9e46c
7;veröffentlicht;;a35fb935-4000-11ee-a1b1-484d7ea9e46c
8;ausgeschlossen/verworfen;;a35fb936-4000-11ee-a657-484d7ea9e46c
