notation;title;description
1;MC - Multiple Choice;;a346fd55-4000-11ee-89b9-484d7ea9e46c
2;WF - Wahr/Falsch;;a346fd56-4000-11ee-8f54-484d7ea9e46c
3;MA - Markierungsaufgabe;;a346fd57-4000-11ee-a1be-484d7ea9e46c
4;MA+ Markierungsaufg. + Kurzantwort;;a346fd58-4000-11ee-b9c2-484d7ea9e46c
5;ZO/UO - Zu-/Umordnung;;a346fd59-4000-11ee-ac2d-484d7ea9e46c
6;KA2 - eindeutige Kurzantwort;;a346fd5a-4000-11ee-b81d-484d7ea9e46c
7;KA3 - längere Kurzantwort (sinngemäß);;a346fd5b-4000-11ee-9945-484d7ea9e46c
8;KA4 - längere Antwort;;a346fd5c-4000-11ee-b87f-484d7ea9e46c
