notation;title;description
1;durchgängig konkret;;a33bef2b-4000-11ee-9207-484d7ea9e46c
2;einige abstrakte Elemente;;a33bef2c-4000-11ee-8542-484d7ea9e46c
3;durchgängig abstrakt;;a33bef2d-4000-11ee-947b-484d7ea9e46c
