notation;title;description
1;gut;;531f8654-325b-4c96-abe1-7cd590c2147d
2;kritisch;;fe1d92fe-9773-4754-b3cf-1ce38091c296
3;schlecht;;92f2c8b4-ca06-4f99-8ee7-01d2261d78e1
4;nicht vergeben;;e815f136-7e78-485b-9453-323b113231c6
