notation;title;description
1;bekannte Wortfelder;;a393f5c9-4000-11ee-a878-484d7ea9e46c
2;wenig bekannte Wortfelder;;a393f5ca-4000-11ee-92e1-484d7ea9e46c
3;unbekannte Wortfelder;;a393f5cb-4000-11ee-89ac-484d7ea9e46c
4;durchgängig anspruchsvoll;;a393f5cc-4000-11ee-a239-484d7ea9e46c
5;teilweise anspruchsvoll;;a393f5cd-4000-11ee-bd01-484d7ea9e46c
6;durchgängig einfach;;a393f5ce-4000-11ee-adf5-484d7ea9e46c
7;teilweise einfach;;a393f5cf-4000-11ee-86e1-484d7ea9e46c
8;idiomatische Wendungen;;a393f5d0-4000-11ee-bf4c-484d7ea9e46c
