notation;title;description
1;Bildungswissenschaften;;bbd62fdc-cd57-43c0-977b-cf307ef30bf9
2;Empirische Bildungsforschung;;27cd8b57-7277-4aba-8e08-acc8db5025d7
3;Erziehungswissenschaften;;d344675b-3e01-4820-a050-efc11a42e0bf
4;Politikwissenschaften;;be6ca193-aca0-4010-bf75-81046544ebc4
5;Psychologie;;687c53c2-6997-4cd5-8214-15b975d0bc7c
6;Sozialwissenschaften;;215b931c-534b-4980-aaaf-49a4aa4f3e9b
7;Soziologie;;9058c45d-52be-4ec4-b9ba-1929cc411078
8;Wirtschaftswissenschaften;;31c36a57-6e3e-4192-aabf-05f7ee3b434b
