notation;title;description
1;apparier des informations;;a382c6e7-4000-11ee-9818-484d7ea9e46c
2;comprendre des indications de direction/consigne;;a382c6e8-4000-11ee-846d-484d7ea9e46c
3;comprendre les messages principeaux;;a382c6e9-4000-11ee-b055-484d7ea9e46c
4;comprendre l'idée generale;;a382c6ea-4000-11ee-b6e3-484d7ea9e46c
5;déduire le sens d'un mot ou d'un group lexical;;a382c6eb-4000-11ee-ab56-484d7ea9e46c
6;faire des inférences simples;;a382c6ec-4000-11ee-a8fa-484d7ea9e46c
7;identifier une information spécifique;;a382c6ed-4000-11ee-a93e-484d7ea9e46c
